model_key,score_name,score_family,n_spots,spearman_error,spearman_pvalue,pearson_error,pearson_pvalue,auroc_top20_error,average_precision_top20_error,auroc_top10_error,average_precision_top10_error,top_minus_bottom20_error,keep80_mean_error,aurc
rctd,snrna_signature_residual,component/proxy diagnostic,1200,0.08779197068886853,0.002335230739144777,0.07947658700377014,0.005875696586144785,0.5905598958333333,0.24864207632034926,0.6018904320987655,0.1407560463189037,0.03888778780060631,0.4266530392823339,0.41804390340229086
rctd,inverse_max_abundance,uncertainty/confidence baseline,1200,0.23435014885427005,1.9607109240590184e-16,0.23124222734510658,4.966471119247813e-16,0.5898307291666667,0.26709487803479365,0.5840046296296296,0.13748913739613866,0.09756858068663854,0.4188062471597037,0.39982023238289244
rctd,native_uncertainty_risk,uncertainty/confidence baseline,1200,0.23435014885427005,1.9607109240590184e-16,0.23124222734510663,4.966471119247813e-16,0.5898307291666667,0.26709487803479365,0.5840046296296296,0.13748913739613866,0.09756858068663854,0.4188062471597037,0.39982023238289244
rctd,phi_local,component/proxy diagnostic,1200,0.1377288664783795,1.6766895204243337e-06,0.1317173242170208,4.693841132347023e-06,0.5891579861111111,0.2595067815666779,0.5791898148148148,0.13536467847978195,0.050761818643418166,0.4286102672278554,0.4094656266613511
rctd,inverse_top1_margin,uncertainty/confidence baseline,1200,0.10875074218801542,0.00016032268836372674,0.12478425299382591,1.4569224887143628e-05,0.5536501736111111,0.23248046772254258,0.5577623456790123,0.12195392199893287,0.05523451288447323,0.4251327982667242,0.4124176205466203
rctd,reference_risk_score,ReliST score,1200,0.1790268882131168,4.218128347673259e-10,0.17626095955964977,7.862059686626838e-10,0.5527821180555555,0.24249843807191387,0.5669984567901235,0.11980646948044738,0.07171674085664925,0.42199238779091647,0.40902179127325067
rctd,risk_score_shuffled_local,ReliST score,1200,0.09494944788156102,0.0009906810257889669,0.0873333473668761,0.002462188684180301,0.5060286458333334,0.2014881318807121,0.5035725308641975,0.09805914961209429,0.03586937415897551,0.42785931236095726,0.41708956654541574
rctd,reference_only,ReliST score,1200,0.018888103394516246,0.5133183042667047,0.01063673602690261,0.7128033288552953,0.4839366319444445,0.1937645526847722,0.5034027777777779,0.10162347290052759,0.0033832944341099513,0.43139030700871756,0.430046666685897
rctd,phi_reference,component/proxy diagnostic,1200,0.018888103394516246,0.5133183042667047,0.0029187363839909236,0.9195482072939429,0.4839366319444445,0.1937645526847722,0.5034027777777779,0.10162347290052759,0.0033832944341099513,0.43139030700871756,0.430046666685897
rctd,snrna_marker_discordance,component/proxy diagnostic,1200,-0.042436390580826794,0.14178682151187688,-0.0535818847050396,0.06352064190742923,0.4429470486111111,0.18231126109949763,0.4144367283950617,0.08155691064317244,-0.037570977523436244,0.43541443722116785,0.4404496982395485
