model_key,score_name,metric,mean,ci95_low,ci95_high,n_bootstrap
rctd,local_uncertainty_risk_score,spearman_error,0.3024298689789296,0.24770680823508476,0.35532095840995714,500
rctd,local_uncertainty_risk_score,auroc_top20_error,0.6364610445648144,0.594282319850606,0.6745480512712182,500
rctd,local_uncertainty_risk_score,keep80_mean_error,0.4143432666915476,0.4054333162522537,0.42345778136008133,500
rctd,local_uncertainty_risk_score,aurc,0.3921601162341686,0.38137388262279026,0.4037275255077421,500
rctd,native_uncertainty_risk,spearman_error,0.2339499287816581,0.17928945688786077,0.29278213297857075,500
rctd,native_uncertainty_risk,auroc_top20_error,0.5890938109378786,0.5471300811357275,0.6291971822216129,500
rctd,native_uncertainty_risk,keep80_mean_error,0.41829952710288715,0.4088427168410511,0.4281800684067056,500
rctd,native_uncertainty_risk,aurc,0.3995978093440903,0.3880944794912299,0.4126486743764147,500
rctd,phi_local,spearman_error,0.13677653798454076,0.08112285964279276,0.18757499578037382,500
rctd,phi_local,auroc_top20_error,0.5881568040447221,0.5500466431481403,0.6261523157894737,500
rctd,phi_local,keep80_mean_error,0.4282489081832025,0.4192279167657893,0.437620698844809,500
rctd,phi_local,aurc,0.4092376469403612,0.3989778873828607,0.419989295317556,500
rctd,phi_local_shuffled_coordinates,spearman_error,-0.12108651185144496,-0.1785622555158485,-0.06347178570309693,500
rctd,phi_local_shuffled_coordinates,auroc_top20_error,0.4214894370990133,0.38237165141660234,0.4618906812320104,500
rctd,phi_local_shuffled_coordinates,keep80_mean_error,0.43924669718228343,0.4291251212799473,0.44864828978445287,500
rctd,phi_local_shuffled_coordinates,aurc,0.4478845773578125,0.43653574966821135,0.45856094049224944,500
rctd,phi_reference,spearman_error,0.019616514706391246,-0.03675063010149958,0.07447875067075382,500
rctd,phi_reference,auroc_top20_error,0.4843328373550558,0.44505207365931204,0.5244794315632012,500
rctd,phi_reference,keep80_mean_error,0.4310542487301031,0.42073913967791876,0.44013123319327935,500
rctd,phi_reference,aurc,0.4296752372070665,0.41859944000493615,0.4411735357100914,500
rctd,phi_uncertainty,spearman_error,0.26216177683046554,0.20892982571695654,0.3183015873977987,500
rctd,phi_uncertainty,auroc_top20_error,0.5991020454203719,0.55595822606991,0.6372343252622571,500
rctd,phi_uncertainty,keep80_mean_error,0.4169083471271296,0.4072429601506716,0.4265973392331192,500
rctd,phi_uncertainty,aurc,0.3959921295763205,0.38388965793893065,0.4093159103572418,500
rctd,reference_only,spearman_error,0.019616514706391246,-0.03675063010149958,0.07447875067075382,500
rctd,reference_only,auroc_top20_error,0.4843328373550558,0.44505207365931204,0.5244794315632012,500
rctd,reference_only,keep80_mean_error,0.4310542487301031,0.42073913967791876,0.44013123319327935,500
rctd,reference_only,aurc,0.4296752372070665,0.41859944000493615,0.4411735357100914,500
rctd,reference_risk_score,spearman_error,0.1792176765168374,0.12674080218359618,0.2330761928797765,500
rctd,reference_risk_score,auroc_top20_error,0.552630471844897,0.5094497871451923,0.5900364179268385,500
rctd,reference_risk_score,keep80_mean_error,0.4217121412991572,0.41109278027527096,0.43143546118193776,500
rctd,reference_risk_score,aurc,0.408719904180743,0.39748940478984546,0.4215725496946559,500
rctd,risk_score,spearman_error,0.2256809336949408,0.1743881132154109,0.2805367857272338,500
rctd,risk_score,auroc_top20_error,0.592561693017447,0.5481580673712241,0.6308557612221928,500
rctd,risk_score,keep80_mean_error,0.4189008842909485,0.4092340479894064,0.42813264271462725,500
rctd,risk_score,aurc,0.40146323557697083,0.3910744538482794,0.41368750831883433,500
rctd,risk_score_shuffled_local,spearman_error,0.09497129124845512,0.03835507444367869,0.15473232303195295,500
rctd,risk_score_shuffled_local,auroc_top20_error,0.5051006415866441,0.4650347921222008,0.5433820676997956,500
